"","Expertos","Capitulos","Animes","Edad","Mujer","CantCaps","Scoremyanimelist","NEscenasCombate","NescenasEmocionantes","CalidadAnimacion","DuracionCapituloMin","RatingTV","Eleccion"
"3.10.4",3,10,4,41,1,113,8.04,0,6,9,49,37,0
"3.11.1",3,11,1,41,1,575,8.15,2,3,4,36,13,0
"3.11.2",3,11,2,41,1,720,8.18,3,3,7,42,10,0
"3.11.3",3,11,3,41,1,148,9.07,10,6,3,57,33,1
"3.11.4",3,11,4,41,1,113,8.04,0,1,9,44,25,0
"3.12.1",3,12,1,41,1,575,8.15,11,5,5,37,7,0
"3.12.2",3,12,2,41,1,720,8.18,8,3,1,43,37,1
"3.12.3",3,12,3,41,1,148,9.07,11,0,7,59,5,0
"3.12.4",3,12,4,41,1,113,8.04,2,0,2,30,38,0
"4.1.1",4,1,1,42,1,575,8.15,1,6,7,37,5,0
"4.1.2",4,1,2,42,1,720,8.18,3,2,7,35,31,1
"4.1.3",4,1,3,42,1,148,9.07,14,3,8,57,36,0
"4.1.4",4,1,4,42,1,113,8.04,2,3,3,57,17,0
"4.2.1",4,2,1,42,1,575,8.15,8,0,2,50,30,0
"4.2.2",4,2,2,42,1,720,8.18,4,3,4,42,19,0
"4.2.3",4,2,3,42,1,148,9.07,2,5,3,46,35,1
"4.2.4",4,2,4,42,1,113,8.04,12,1,5,38,17,0
"4.3.1",4,3,1,42,1,575,8.15,10,5,3,54,34,1
"4.3.2",4,3,2,42,1,720,8.18,10,2,7,42,11,0
"4.3.3",4,3,3,42,1,148,9.07,8,4,9,46,6,0
"4.3.4",4,3,4,42,1,113,8.04,3,2,2,42,8,0
"4.4.1",4,4,1,42,1,575,8.15,14,4,2,43,22,0
"4.4.2",4,4,2,42,1,720,8.18,14,3,2,37,24,0
"4.4.3",4,4,3,42,1,148,9.07,10,2,8,43,37,1
"4.4.4",4,4,4,42,1,113,8.04,10,0,8,43,6,0
"4.5.1",4,5,1,42,1,575,8.15,7,6,4,49,8,0
"4.5.2",4,5,2,42,1,720,8.18,9,4,2,56,17,0
"4.5.3",4,5,3,42,1,148,9.07,14,4,5,30,27,0
"4.5.4",4,5,4,42,1,113,8.04,12,2,7,55,16,1
"4.6.1",4,6,1,42,1,575,8.15,3,4,4,34,22,1
"4.6.2",4,6,2,42,1,720,8.18,0,1,8,51,18,0
"4.6.3",4,6,3,42,1,148,9.07,12,1,7,35,15,0
"4.6.4",4,6,4,42,1,113,8.04,12,3,8,47,29,0
"4.7.1",4,7,1,42,1,575,8.15,5,6,4,32,34,1
"4.7.2",4,7,2,42,1,720,8.18,5,2,4,42,22,0
"4.7.3",4,7,3,42,1,148,9.07,2,3,1,34,6,0
"4.7.4",4,7,4,42,1,113,8.04,9,3,8,51,5,0
"4.8.1",4,8,1,42,1,575,8.15,4,6,4,54,6,0
"4.8.2",4,8,2,42,1,720,8.18,8,5,2,34,5,0
"4.8.3",4,8,3,42,1,148,9.07,10,2,5,57,38,0
"4.8.4",4,8,4,42,1,113,8.04,10,3,8,40,28,1
"4.9.1",4,9,1,42,1,575,8.15,6,5,5,37,14,0
"4.9.2",4,9,2,42,1,720,8.18,9,6,8,54,12,1
"4.9.3",4,9,3,42,1,148,9.07,5,6,6,32,18,0
"4.9.4",4,9,4,42,1,113,8.04,0,5,2,33,23,0
"4.10.1",4,10,1,42,1,575,8.15,5,2,4,41,26,1
"4.10.2",4,10,2,42,1,720,8.18,11,1,3,41,11,0
"4.10.3",4,10,3,42,1,148,9.07,5,1,3,40,18,0
"4.10.4",4,10,4,42,1,113,8.04,0,6,9,49,37,0
"4.11.1",4,11,1,42,1,575,8.15,2,3,4,36,13,0
"4.11.2",4,11,2,42,1,720,8.18,3,3,7,42,10,0
"4.11.3",4,11,3,42,1,148,9.07,10,6,3,57,33,1
"4.11.4",4,11,4,42,1,113,8.04,0,1,9,44,25,0
"4.12.1",4,12,1,42,1,575,8.15,11,5,5,37,7,0
"4.12.2",4,12,2,42,1,720,8.18,8,3,1,43,37,1
"4.12.3",4,12,3,42,1,148,9.07,11,0,7,59,5,0
"4.12.4",4,12,4,42,1,113,8.04,2,0,2,30,38,0
"5.1.1",5,1,1,47,1,575,8.15,1,6,7,37,5,0
"5.1.2",5,1,2,47,1,720,8.18,3,2,7,35,31,1
"5.1.3",5,1,3,47,1,148,9.07,14,3,8,57,36,0
"5.1.4",5,1,4,47,1,113,8.04,2,3,3,57,17,0
"5.2.1",5,2,1,47,1,575,8.15,8,0,2,50,30,0
"5.2.2",5,2,2,47,1,720,8.18,4,3,4,42,19,0
"5.2.3",5,2,3,47,1,148,9.07,2,5,3,46,35,1
"5.2.4",5,2,4,47,1,113,8.04,12,1,5,38,17,0
"5.3.1",5,3,1,47,1,575,8.15,10,5,3,54,34,1
"5.3.2",5,3,2,47,1,720,8.18,10,2,7,42,11,0
"5.3.3",5,3,3,47,1,148,9.07,8,4,9,46,6,0
"5.3.4",5,3,4,47,1,113,8.04,3,2,2,42,8,0
"5.4.1",5,4,1,47,1,575,8.15,14,4,2,43,22,0
"5.4.2",5,4,2,47,1,720,8.18,14,3,2,37,24,0
"5.4.3",5,4,3,47,1,148,9.07,10,2,8,43,37,1
"5.4.4",5,4,4,47,1,113,8.04,10,0,8,43,6,0
"5.5.1",5,5,1,47,1,575,8.15,7,6,4,49,8,0
"5.5.2",5,5,2,47,1,720,8.18,9,4,2,56,17,0
"5.5.3",5,5,3,47,1,148,9.07,14,4,5,30,27,0
"5.5.4",5,5,4,47,1,113,8.04,12,2,7,55,16,1
"5.6.1",5,6,1,47,1,575,8.15,3,4,4,34,22,1
"5.6.2",5,6,2,47,1,720,8.18,0,1,8,51,18,0
"5.6.3",5,6,3,47,1,148,9.07,12,1,7,35,15,0
"5.6.4",5,6,4,47,1,113,8.04,12,3,8,47,29,0
"5.7.1",5,7,1,47,1,575,8.15,5,6,4,32,34,1
"5.7.2",5,7,2,47,1,720,8.18,5,2,4,42,22,0
"5.7.3",5,7,3,47,1,148,9.07,2,3,1,34,6,0
"5.7.4",5,7,4,47,1,113,8.04,9,3,8,51,5,0
"5.8.1",5,8,1,47,1,575,8.15,4,6,4,54,6,0
"5.8.2",5,8,2,47,1,720,8.18,8,5,2,34,5,0
"5.8.3",5,8,3,47,1,148,9.07,10,2,5,57,38,0
"5.8.4",5,8,4,47,1,113,8.04,10,3,8,40,28,1
"5.9.1",5,9,1,47,1,575,8.15,6,5,5,37,14,0
"5.9.2",5,9,2,47,1,720,8.18,9,6,8,54,12,1
"5.9.3",5,9,3,47,1,148,9.07,5,6,6,32,18,0
"5.9.4",5,9,4,47,1,113,8.04,0,5,2,33,23,0
"5.10.1",5,10,1,47,1,575,8.15,5,2,4,41,26,1
"5.10.2",5,10,2,47,1,720,8.18,11,1,3,41,11,0
"5.10.3",5,10,3,47,1,148,9.07,5,1,3,40,18,0
"5.10.4",5,10,4,47,1,113,8.04,0,6,9,49,37,0
"5.11.1",5,11,1,47,1,575,8.15,2,3,4,36,13,0
"5.11.2",5,11,2,47,1,720,8.18,3,3,7,42,10,0
"5.11.3",5,11,3,47,1,148,9.07,10,6,3,57,33,1
"5.11.4",5,11,4,47,1,113,8.04,0,1,9,44,25,0
"5.12.1",5,12,1,47,1,575,8.15,11,5,5,37,7,0
"5.12.2",5,12,2,47,1,720,8.18,8,3,1,43,37,1
"5.12.3",5,12,3,47,1,148,9.07,11,0,7,59,5,0
"5.12.4",5,12,4,47,1,113,8.04,2,0,2,30,38,0
"6.1.1",6,1,1,47,0,575,8.15,1,6,7,37,5,0
"6.1.2",6,1,2,47,0,720,8.18,3,2,7,35,31,1
"6.1.3",6,1,3,47,0,148,9.07,14,3,8,57,36,0
"6.1.4",6,1,4,47,0,113,8.04,2,3,3,57,17,0
"6.2.1",6,2,1,47,0,575,8.15,8,0,2,50,30,0
"6.2.2",6,2,2,47,0,720,8.18,4,3,4,42,19,0
"6.2.3",6,2,3,47,0,148,9.07,2,5,3,46,35,1
"6.2.4",6,2,4,47,0,113,8.04,12,1,5,38,17,0
"6.3.1",6,3,1,47,0,575,8.15,10,5,3,54,34,1
"6.3.2",6,3,2,47,0,720,8.18,10,2,7,42,11,0
"6.3.3",6,3,3,47,0,148,9.07,8,4,9,46,6,0
"6.3.4",6,3,4,47,0,113,8.04,3,2,2,42,8,0
"6.4.1",6,4,1,47,0,575,8.15,14,4,2,43,22,0
"6.4.2",6,4,2,47,0,720,8.18,14,3,2,37,24,0
"6.4.3",6,4,3,47,0,148,9.07,10,2,8,43,37,1
"6.4.4",6,4,4,47,0,113,8.04,10,0,8,43,6,0
"6.5.1",6,5,1,47,0,575,8.15,7,6,4,49,8,0
"6.5.2",6,5,2,47,0,720,8.18,9,4,2,56,17,0
"6.5.3",6,5,3,47,0,148,9.07,14,4,5,30,27,0
"6.5.4",6,5,4,47,0,113,8.04,12,2,7,55,16,1
"6.6.1",6,6,1,47,0,575,8.15,3,4,4,34,22,1
"6.6.2",6,6,2,47,0,720,8.18,0,1,8,51,18,0
"6.6.3",6,6,3,47,0,148,9.07,12,1,7,35,15,0
"6.6.4",6,6,4,47,0,113,8.04,12,3,8,47,29,0
"6.7.1",6,7,1,47,0,575,8.15,5,6,4,32,34,1
"6.7.2",6,7,2,47,0,720,8.18,5,2,4,42,22,0
"6.7.3",6,7,3,47,0,148,9.07,2,3,1,34,6,0
"6.7.4",6,7,4,47,0,113,8.04,9,3,8,51,5,0
"6.8.1",6,8,1,47,0,575,8.15,4,6,4,54,6,0
"6.8.2",6,8,2,47,0,720,8.18,8,5,2,34,5,0
"6.8.3",6,8,3,47,0,148,9.07,10,2,5,57,38,0
"6.8.4",6,8,4,47,0,113,8.04,10,3,8,40,28,1
"6.9.1",6,9,1,47,0,575,8.15,6,5,5,37,14,0
"6.9.2",6,9,2,47,0,720,8.18,9,6,8,54,12,1
"6.9.3",6,9,3,47,0,148,9.07,5,6,6,32,18,0
"6.9.4",6,9,4,47,0,113,8.04,0,5,2,33,23,0
"6.10.1",6,10,1,47,0,575,8.15,5,2,4,41,26,1
"6.10.2",6,10,2,47,0,720,8.18,11,1,3,41,11,0
"6.10.3",6,10,3,47,0,148,9.07,5,1,3,40,18,0
"6.10.4",6,10,4,47,0,113,8.04,0,6,9,49,37,0
"6.11.1",6,11,1,47,0,575,8.15,2,3,4,36,13,0
"6.11.2",6,11,2,47,0,720,8.18,3,3,7,42,10,0
"6.11.3",6,11,3,47,0,148,9.07,10,6,3,57,33,1
"6.11.4",6,11,4,47,0,113,8.04,0,1,9,44,25,0
"6.12.1",6,12,1,47,0,575,8.15,11,5,5,37,7,0
"6.12.2",6,12,2,47,0,720,8.18,8,3,1,43,37,1
"6.12.3",6,12,3,47,0,148,9.07,11,0,7,59,5,0
"6.12.4",6,12,4,47,0,113,8.04,2,0,2,30,38,0
"7.1.1",7,1,1,30,0,575,8.15,1,6,7,37,5,0
"7.1.2",7,1,2,30,0,720,8.18,3,2,7,35,31,1
"7.1.3",7,1,3,30,0,148,9.07,14,3,8,57,36,0
"7.1.4",7,1,4,30,0,113,8.04,2,3,3,57,17,0
"7.2.1",7,2,1,30,0,575,8.15,8,0,2,50,30,0
"7.2.2",7,2,2,30,0,720,8.18,4,3,4,42,19,0
"7.2.3",7,2,3,30,0,148,9.07,2,5,3,46,35,1
"7.2.4",7,2,4,30,0,113,8.04,12,1,5,38,17,0
"7.3.1",7,3,1,30,0,575,8.15,10,5,3,54,34,1
"7.3.2",7,3,2,30,0,720,8.18,10,2,7,42,11,0
"7.3.3",7,3,3,30,0,148,9.07,8,4,9,46,6,0
"7.3.4",7,3,4,30,0,113,8.04,3,2,2,42,8,0
"7.4.1",7,4,1,30,0,575,8.15,14,4,2,43,22,0
"7.4.2",7,4,2,30,0,720,8.18,14,3,2,37,24,0
"7.4.3",7,4,3,30,0,148,9.07,10,2,8,43,37,1
"7.4.4",7,4,4,30,0,113,8.04,10,0,8,43,6,0
"7.5.1",7,5,1,30,0,575,8.15,7,6,4,49,8,0
"7.5.2",7,5,2,30,0,720,8.18,9,4,2,56,17,0
"7.5.3",7,5,3,30,0,148,9.07,14,4,5,30,27,0
"7.5.4",7,5,4,30,0,113,8.04,12,2,7,55,16,1
"7.6.1",7,6,1,30,0,575,8.15,3,4,4,34,22,1
"7.6.2",7,6,2,30,0,720,8.18,0,1,8,51,18,0
"7.6.3",7,6,3,30,0,148,9.07,12,1,7,35,15,0
"7.6.4",7,6,4,30,0,113,8.04,12,3,8,47,29,0
"7.7.1",7,7,1,30,0,575,8.15,5,6,4,32,34,1
"7.7.2",7,7,2,30,0,720,8.18,5,2,4,42,22,0
"7.7.3",7,7,3,30,0,148,9.07,2,3,1,34,6,0
"7.7.4",7,7,4,30,0,113,8.04,9,3,8,51,5,0
"7.8.1",7,8,1,30,0,575,8.15,4,6,4,54,6,0
"7.8.2",7,8,2,30,0,720,8.18,8,5,2,34,5,0
"7.8.3",7,8,3,30,0,148,9.07,10,2,5,57,38,0
"7.8.4",7,8,4,30,0,113,8.04,10,3,8,40,28,1
"7.9.1",7,9,1,30,0,575,8.15,6,5,5,37,14,0
"7.9.2",7,9,2,30,0,720,8.18,9,6,8,54,12,1
"7.9.3",7,9,3,30,0,148,9.07,5,6,6,32,18,0
"7.9.4",7,9,4,30,0,113,8.04,0,5,2,33,23,0
"7.10.1",7,10,1,30,0,575,8.15,5,2,4,41,26,1
"7.10.2",7,10,2,30,0,720,8.18,11,1,3,41,11,0
"7.10.3",7,10,3,30,0,148,9.07,5,1,3,40,18,0
"7.10.4",7,10,4,30,0,113,8.04,0,6,9,49,37,0
"7.11.1",7,11,1,30,0,575,8.15,2,3,4,36,13,0
"7.11.2",7,11,2,30,0,720,8.18,3,3,7,42,10,0
"7.11.3",7,11,3,30,0,148,9.07,10,6,3,57,33,1
"7.11.4",7,11,4,30,0,113,8.04,0,1,9,44,25,0
"7.12.1",7,12,1,30,0,575,8.15,11,5,5,37,7,0
"7.12.2",7,12,2,30,0,720,8.18,8,3,1,43,37,1
"7.12.3",7,12,3,30,0,148,9.07,11,0,7,59,5,0
"7.12.4",7,12,4,30,0,113,8.04,2,0,2,30,38,0
"8.1.1",8,1,1,48,1,575,8.15,1,6,7,37,5,0
"8.1.2",8,1,2,48,1,720,8.18,3,2,7,35,31,1
"8.1.3",8,1,3,48,1,148,9.07,14,3,8,57,36,0
"8.1.4",8,1,4,48,1,113,8.04,2,3,3,57,17,0
"8.2.1",8,2,1,48,1,575,8.15,8,0,2,50,30,0
"8.2.2",8,2,2,48,1,720,8.18,4,3,4,42,19,0
"8.2.3",8,2,3,48,1,148,9.07,2,5,3,46,35,1
"8.2.4",8,2,4,48,1,113,8.04,12,1,5,38,17,0
"8.3.1",8,3,1,48,1,575,8.15,10,5,3,54,34,1
"8.3.2",8,3,2,48,1,720,8.18,10,2,7,42,11,0
"8.3.3",8,3,3,48,1,148,9.07,8,4,9,46,6,0
"8.3.4",8,3,4,48,1,113,8.04,3,2,2,42,8,0
"8.4.1",8,4,1,48,1,575,8.15,14,4,2,43,22,0
"8.4.2",8,4,2,48,1,720,8.18,14,3,2,37,24,0
"8.4.3",8,4,3,48,1,148,9.07,10,2,8,43,37,1
"8.4.4",8,4,4,48,1,113,8.04,10,0,8,43,6,0
"8.5.1",8,5,1,48,1,575,8.15,7,6,4,49,8,0
"8.5.2",8,5,2,48,1,720,8.18,9,4,2,56,17,0
"8.5.3",8,5,3,48,1,148,9.07,14,4,5,30,27,0
"8.5.4",8,5,4,48,1,113,8.04,12,2,7,55,16,1
"8.6.1",8,6,1,48,1,575,8.15,3,4,4,34,22,1
"8.6.2",8,6,2,48,1,720,8.18,0,1,8,51,18,0
"8.6.3",8,6,3,48,1,148,9.07,12,1,7,35,15,0
"8.6.4",8,6,4,48,1,113,8.04,12,3,8,47,29,0
"8.7.1",8,7,1,48,1,575,8.15,5,6,4,32,34,1
"8.7.2",8,7,2,48,1,720,8.18,5,2,4,42,22,0
"8.7.3",8,7,3,48,1,148,9.07,2,3,1,34,6,0
"8.7.4",8,7,4,48,1,113,8.04,9,3,8,51,5,0
"8.8.1",8,8,1,48,1,575,8.15,4,6,4,54,6,0
"8.8.2",8,8,2,48,1,720,8.18,8,5,2,34,5,0
"8.8.3",8,8,3,48,1,148,9.07,10,2,5,57,38,0
"8.8.4",8,8,4,48,1,113,8.04,10,3,8,40,28,1
"8.9.1",8,9,1,48,1,575,8.15,6,5,5,37,14,0
"8.9.2",8,9,2,48,1,720,8.18,9,6,8,54,12,1
"8.9.3",8,9,3,48,1,148,9.07,5,6,6,32,18,0
"8.9.4",8,9,4,48,1,113,8.04,0,5,2,33,23,0
"8.10.1",8,10,1,48,1,575,8.15,5,2,4,41,26,1
"8.10.2",8,10,2,48,1,720,8.18,11,1,3,41,11,0
"8.10.3",8,10,3,48,1,148,9.07,5,1,3,40,18,0
"8.10.4",8,10,4,48,1,113,8.04,0,6,9,49,37,0
"8.11.1",8,11,1,48,1,575,8.15,2,3,4,36,13,0
"8.11.2",8,11,2,48,1,720,8.18,3,3,7,42,10,0
"8.11.3",8,11,3,48,1,148,9.07,10,6,3,57,33,1
"8.11.4",8,11,4,48,1,113,8.04,0,1,9,44,25,0
"8.12.1",8,12,1,48,1,575,8.15,11,5,5,37,7,0
"8.12.2",8,12,2,48,1,720,8.18,8,3,1,43,37,1
"8.12.3",8,12,3,48,1,148,9.07,11,0,7,59,5,0
"8.12.4",8,12,4,48,1,113,8.04,2,0,2,30,38,0
"9.1.1",9,1,1,30,0,575,8.15,1,6,7,37,5,0
"9.1.2",9,1,2,30,0,720,8.18,3,2,7,35,31,1
"9.1.3",9,1,3,30,0,148,9.07,14,3,8,57,36,0
"9.1.4",9,1,4,30,0,113,8.04,2,3,3,57,17,0
"9.2.1",9,2,1,30,0,575,8.15,8,0,2,50,30,0
"9.2.2",9,2,2,30,0,720,8.18,4,3,4,42,19,0
"9.2.3",9,2,3,30,0,148,9.07,2,5,3,46,35,1
"9.2.4",9,2,4,30,0,113,8.04,12,1,5,38,17,0
"9.3.1",9,3,1,30,0,575,8.15,10,5,3,54,34,1
"9.3.2",9,3,2,30,0,720,8.18,10,2,7,42,11,0
